Complaint, Issue
"I can’t get my key to turn in the lock; could you assist?","Lock and Key"
"The wall in my room has scratches that need repair.","Wall Damage"
"I need urgent help with my door lock; it won’t close.","Lock and Key"
"The lock keeps getting stuck; can you send someone to fix it?","Lock and Key"
"The door won't open properly; I need help with this issue.","Lock and Key"
"I have a problem with my bed height; it’s making my room cramped.","Request for Bed Lofting"
"Please send maintenance for my lock; it’s not working well.","Lock and Key"
"The key is getting stuck in the lock; could someone assist?","Lock and Key"
"The corner of my wall has some damage; please send maintenance.","Wall Damage"
"My room key keeps getting stuck. Please fix it.","Lock and Key"
"Please help with my door lock issue; I can't get in.","Lock and Key"
"The lock on my door feels broken; please help me fix it.","Lock and Key"
"The lock on my room is damaged. I need repairs as soon as possible.","Lock and Key"
"I need urgent assistance with my door lock; it’s broken.","Lock and Key"
"Could someone assist me in adjusting my bed for more space?","Request for Bed Lofting"
"The lock on my door isn't functioning properly; please help.","Lock and Key"
"I noticed some scuff marks on my wall that require attention.","Wall Damage"
"Can you please assist with the key for my door? It’s malfunctioning.","Lock and Key"
"There’s some visible damage on the wall; it needs repair.","Wall Damage"
"I’m having trouble with my room key; it doesn't work well.","Lock and Key"
"The wall in my dorm has some scuffs; it needs repairing.","Wall Damage"
"I can’t seem to unlock my door properly; it’s quite frustrating.","Lock and Key"
"My bed is too close to the ground; could you help raise it?","Request for Bed Lofting"
"Please help me with the lock on my room door; it’s faulty.","Lock and Key"
"There’s a hole in my wall that needs urgent attention.","Wall Damage"
"The lock on my door is not functioning as it should. Please fix it.","Lock and Key"
"I can’t seem to get my door to lock; it’s causing issues.","Lock and Key"
"I need my room lock repaired; it’s not secure.","Lock and Key"
"I’m having trouble locking my door; it keeps getting stuck.","Lock and Key"
"Could someone help with my lock? It’s broken and needs fixing.","Lock and Key"
"The height of my bed is uncomfortable; I’d appreciate some help.","Request for Bed Lofting"
"The wall has some significant scuffs; please help repair it.","Wall Damage"
"Can you send someone to raise my bed? It’s too low for comfort.","Request for Bed Lofting"
"There’s a crack in the wall that I need addressed immediately.","Wall Damage"
"I need my door lock checked; it’s acting up.","Lock and Key"
"Please help with the height of my bed; it's causing space issues.","Request for Bed Lofting"
"I would like to raise my bed; it's too low for my needs.","Request for Bed Lofting"
"The lock on my door won't turn; I need someone to check it.","Lock and Key"
"The wall has some noticeable damage; I need it fixed.","Wall Damage"
"I’d like to report damage to my wall; it needs repair.","Wall Damage"
"The wall needs urgent attention; can you send someone?","Wall Damage"
"I need help making my bed higher; the current height is inconvenient.","Request for Bed Lofting"
"The wall has some wear and tear; could you send someone to check it?","Wall Damage"
"The wall near my desk has some damage that needs fixing.","Wall Damage"
"The lock on my door feels faulty; I need someone to take a look.","Lock and Key"
"The wall has some visible damage; it needs repair.","Wall Damage"
"I need urgent assistance with the wall in my room; it’s damaged.","Wall Damage"
"The lock keeps getting stuck; please send someone to fix it.","Lock and Key"
"My bed is too low for my needs; I need assistance with this.","Request for Bed Lofting"
"I’m having trouble closing my door; it’s sticking.","Lock and Key"
"I need someone to take a look at my door lock; it’s faulty.","Lock and Key"
"I’m unable to lock my door properly; please send maintenance.","Lock and Key"
"Can you assist with my bed height? I need more space.","Request for Bed Lofting"
"Please help me with my lock issue; I can't get in my room.","Lock and Key"
"I’d appreciate help adjusting my bed for more space.","Request for Bed Lofting"
"My wall has some damage; I need someone to repair it soon.","Wall Damage"
"There’s a significant mark on the wall that needs to be fixed.","Wall Damage"
"My door won’t lock properly; could you send someone to check it?","Lock and Key"
"The lock keeps getting stuck; can you send someone to repair it?","Lock and Key"
"I’m having trouble locking my door; it seems to be malfunctioning.","Lock and Key"
"I need to adjust my bed height for better comfort; please help.","Request for Bed Lofting"
