"Issue","Complaint"
"Lock and Key","The lock on my room is damaged. I need repairs as soon as possible."
"Lock and Key","I need urgent assistance with my door lock; it’s broken."
"Request for Bed Lofting","Could someone assist me in adjusting my bed for more space?"
"Lock and Key","The lock on my door isn't functioning properly; please help."
"Wall Damage","I noticed some scuff marks on my wall that require attention."
"Lock and Key","Can you please assist with the key for my door? It’s malfunctioning."
"Wall Damage","There’s some visible damage on the wall; it needs repair."
"Lock and Key","I’m having trouble with my room key; it doesn't work well."
"Wall Damage","The wall in my dorm has some scuffs; it needs repairing."
"Lock and Key","I can’t seem to unlock my door properly; it’s quite frustrating."
"Request for Bed Lofting","My bed is too close to the ground; could you help raise it?"
"Lock and Key","Please help me with the lock on my room door; it’s faulty."
"Wall Damage","There’s a hole in my wall that needs urgent attention."
"Lock and Key","The lock on my door is not functioning as it should. Please fix it."
"Lock and Key","I can’t seem to get my door to lock; it’s causing issues."
"Lock and Key","I need my room lock repaired; it’s not secure."
"Lock and Key","I’m having trouble locking my door; it keeps getting stuck."
"Lock and Key","Could someone help with my lock? It’s broken and needs fixing."
"Request for Bed Lofting","The height of my bed is uncomfortable; I’d appreciate some help."
"Wall Damage","The wall has some significant scuffs; please help repair it."
"Request for Bed Lofting","Can you send someone to raise my bed? It’s too low for comfort."
"Wall Damage","There’s a crack in the wall that I need addressed immediately."
"Lock and Key","I need my door lock checked; it’s acting up."
"Request for Bed Lofting","Please help with the height of my bed; it's causing space issues."
"Request for Bed Lofting","I would like to raise my bed; it's too low for my needs."
"Lock and Key","The lock on my door won't turn; I need someone to check it."
"Wall Damage","The wall has some noticeable damage; I need it fixed."
"Wall Damage","I’d like to report damage to my wall; it needs repair."
"Wall Damage","The wall needs urgent attention; can you send someone?"
"Request for Bed Lofting","I need help making my bed higher; the current height is inconvenient."
"Wall Damage","The wall has some wear and tear; could you send someone to check it?"
"Wall Damage","The wall near my desk has some damage that needs fixing."
"Lock and Key","The lock on my door feels faulty; I need someone to take a look."
"Wall Damage","The wall has some visible damage; it needs repair."
"Wall Damage","I need urgent assistance with the wall in my room; it’s damaged."
"Lock and Key","The lock keeps getting stuck; please send someone to fix it."
"Request for Bed Lofting","My bed is too low for my needs; I need assistance with this."
"Lock and Key","I’m having trouble closing my door; it’s sticking."
"Lock and Key","I need someone to take a look at my door lock; it’s faulty."
"Lock and Key","I’m unable to lock my door properly; please send maintenance."
"Request for Bed Lofting","Can you assist with my bed height? I need more space."
"Lock and Key","Please help me with my lock issue; I can't get in my room."
"Request for Bed Lofting","I’d appreciate help adjusting my bed for more space."
"Wall Damage","My wall has some damage; I need someone to repair it soon."
"Wall Damage","There’s a significant mark on the wall that needs to be fixed."
"Lock and Key","My door won’t lock properly; could you send someone to check it?"
"Lock and Key","The lock keeps getting stuck; can you send someone to repair it?"
"Lock and Key","I’m having trouble locking my door; it seems to be malfunctioning."
"Request for Bed Lofting","I need to adjust my bed height for better comfort; please help."
